#VisAO H-alfa Continuu, April 2014 and later
#Digitized by Ya-lin Wu
#Filter by Custom Scientific, Log 276134
#    lamda(microns)   trans(normalized)
     0.647910    0.0214414
     0.647940    0.0207842
     0.647970    0.0201269
     0.648000    0.0194697
     0.648030    0.0188124
     0.648060    0.0181552
     0.648090    0.0174936
     0.648120    0.0168322
     0.648150    0.0161707
     0.648180    0.0155092
     0.648210    0.0148477
     0.648240    0.0141862
     0.648270    0.0135248
     0.648300    0.0128652
     0.648330    0.0122060
     0.648360    0.0115468
     0.648390    0.0108875
     0.648420    0.0102283
     0.648450   0.00956904
     0.648480   0.00890981
     0.648510   0.00836503
     0.648540   0.00789800
     0.648570   0.00743091
     0.648600   0.00696388
     0.648630   0.00649679
     0.648660   0.00602975
     0.648690   0.00556267
     0.648720   0.00509563
     0.648750   0.00467410
     0.648780   0.00455721
     0.648810   0.00444032
     0.648840   0.00432342
     0.648870   0.00420654
     0.648900   0.00408964
     0.648930   0.00397276
     0.648960   0.00385586
     0.648990   0.00374918
     0.649020   0.00364415
     0.649050   0.00353911
     0.649080   0.00343407
     0.649110   0.00332904
     0.649140   0.00322401
     0.649170   0.00311896
     0.649200   0.00301393
     0.649230   0.00290888
     0.649260   0.00286223
     0.649290   0.00283256
     0.649320   0.00280289
     0.649350   0.00277321
     0.649380   0.00274354
     0.649410   0.00271387
     0.649440   0.00268419
     0.649470   0.00265452
     0.649500   0.00262485
     0.649530   0.00259517
     0.649560   0.00256551
     0.649590   0.00253584
     0.649620   0.00250616
     0.649650   0.00247649
     0.649680   0.00244682
     0.649710   0.00241992
     0.649740   0.00253327
     0.649770   0.00264664
     0.649800   0.00275999
     0.649830   0.00287334
     0.649860   0.00298669
     0.649890   0.00310004
     0.649920   0.00321340
     0.649950   0.00332675
     0.649980   0.00344011
     0.650010   0.00355346
     0.650040   0.00350851
     0.650070   0.00344829
     0.650100   0.00338807
     0.650130   0.00332786
     0.650160   0.00326764
     0.650190   0.00320742
     0.650220   0.00314721
     0.650250   0.00302679
     0.650280   0.00282957
     0.650310   0.00263232
     0.650340   0.00243511
     0.650370   0.00223787
     0.650400   0.00204064
     0.650430   0.00184340
     0.650460   0.00167534
     0.650490   0.00164567
     0.650520   0.00161600
     0.650550   0.00158632
     0.650580   0.00155665
     0.650610   0.00152698
     0.650640   0.00149730
     0.650670   0.00146763
     0.650700   0.00128674
     0.650730   0.00108956
     0.650760  0.000892388
     0.650790  0.000695211
     0.650820  0.000498035
     0.650850  0.000300859
     0.650880  0.000103682
     0.650910  2.81031e-05
     0.650940  2.22665e-05
     0.650970  1.64298e-05
     0.651000  1.05932e-05
     0.651030  4.75658e-06
     0.651060  2.76621e-05
     0.651090      0.00000
