#VisAO H-alfa, April 2014 and later
#Digitized by Ya-lin Wu
#Filter by Custom Scientific, Log 276001
#    lamda(microns)   trans(normalized)
     0.660150    0.0905015
     0.660180    0.0854802
     0.660210    0.0804589
     0.660240    0.0765935
     0.660270    0.0728819
     0.660300    0.0691702
     0.660330    0.0657440
     0.660360    0.0629841
     0.660390    0.0602240
     0.660420    0.0574641
     0.660450    0.0547501
     0.660480    0.0522678
     0.660510    0.0497854
     0.660540    0.0473030
     0.660570    0.0448206
     0.660600    0.0426342
     0.660630    0.0407979
     0.660660    0.0389618
     0.660690    0.0371257
     0.660720    0.0352896
     0.660750    0.0335777
     0.660780    0.0323670
     0.660810    0.0311564
     0.660840    0.0299456
     0.660870    0.0287350
     0.660900    0.0275243
     0.660930    0.0263137
     0.660960    0.0251030
     0.660990    0.0241442
     0.661020    0.0233172
     0.661050    0.0224900
     0.661080    0.0216629
     0.661110    0.0208358
     0.661140    0.0200087
     0.661170    0.0191814
     0.661200    0.0185173
     0.661230    0.0179142
     0.661260    0.0173111
     0.661290    0.0167081
     0.661320    0.0161051
     0.661350    0.0155020
     0.661380    0.0148990
     0.661410    0.0144118
     0.661440    0.0139515
     0.661470    0.0134911
     0.661500    0.0130308
     0.661530    0.0125705
     0.661560    0.0121101
     0.661590    0.0116497
     0.661620    0.0113015
     0.661650    0.0109642
     0.661680    0.0106268
     0.661710    0.0102896
     0.661740   0.00995221
     0.661770   0.00961487
     0.661800   0.00927202
     0.661830   0.00862811
     0.661860   0.00798413
     0.661890   0.00734023
     0.661920   0.00669632
     0.661950   0.00605241
     0.661980   0.00540850
     0.662010   0.00479614
     0.662040   0.00446567
     0.662070   0.00413523
     0.662100   0.00380475
     0.662130   0.00347428
     0.662160   0.00314381
     0.662190   0.00281337
     0.662220   0.00255782
     0.662250   0.00258783
     0.662280   0.00261784
     0.662310   0.00264784
     0.662340   0.00267785
     0.662370   0.00270786
     0.662400   0.00273788
     0.662430   0.00266171
     0.662460   0.00238254
     0.662490   0.00210340
     0.662520   0.00182426
     0.662550   0.00154509
     0.662580   0.00126595
     0.662610  0.000986813
     0.662640  0.000830963
     0.662670  0.000823067
     0.662700  0.000815172
     0.662730  0.000807276
     0.662760  0.000799381
     0.662790  0.000791484
     0.662820  0.000783589
     0.662850  0.000934136
     0.662880   0.00119566
     0.662910   0.00145719
     0.662940   0.00171871
     0.662970   0.00198023
     0.663000   0.00224176
     0.663030   0.00250328
     0.663060   0.00235199
     0.663090   0.00205568
     0.663120   0.00175934
     0.663150   0.00146303
     0.663180   0.00116672
     0.663210  0.000870385
     0.663240  0.000574076
     0.663270  0.000681854
     0.663300  0.000860291
     0.663330   0.00103873
     0.663360   0.00121718
     0.663390   0.00139562
     0.663420   0.00145644
     0.663450   0.00146923
     0.663480   0.00148200
     0.663510   0.00149478
     0.663540   0.00150756
     0.663570   0.00152034
     0.663600   0.00153312
     0.663630   0.00154589
     0.663660   0.00155867
     0.663690   0.00157144
     0.663720   0.00158422
     0.663750   0.00159700
     0.663780   0.00160977
     0.663810   0.00162254
     0.663840   0.00163531
     0.663870   0.00164809
     0.663900   0.00166086
     0.663930   0.00167364
     0.663960   0.00178630
     0.663990   0.00204792
     0.664020   0.00230950
     0.664050   0.00257110
     0.664080   0.00283271
     0.664110   0.00309432
     0.664140   0.00335589
     0.664170   0.00320530
     0.664200   0.00272468
     0.664230   0.00224406
     0.664260   0.00176344
     0.664290   0.00128287
     0.664320  0.000802253
     0.664350  0.000321632
     0.664380  0.000161815
     0.664410  0.000174590
     0.664440  0.000187366
     0.664470  0.000200141
     0.664500  0.000212917
     0.664530  0.000225691
     0.664560  0.000238466
     0.664590  0.000251244
     0.664620  0.000264023
     0.664650  0.000276801
     0.664680  0.000289580
     0.664710  0.000302360
     0.664740  0.000315138
     0.664770  0.000327917
     0.664800  0.000288412
     0.664830  0.000244321
     0.664860  0.000200227
     0.664890  0.000156137
     0.664920  0.000112047
     0.664950  6.79519e-05
     0.664980  2.38619e-05
     0.665010      0.00000
     0.665040      0.00000
     
